Year,Month (number),Hour,Sum(WindSpeed),Sum(ActivePower)
2018,1,0,12.58606063,-30.54859005
2018,1,1,11.72868609,-28.93529309
2018,1,2,10.22772545,-28.01386104
2018,1,3,11.47802021,-31.5743784
2018,1,4,13.08323778,-33.60164837
2018,1,5,14.06024569,-29.56207837
2018,1,6,18.72029349,109.0249698
2018,1,7,15.18985858,-49.17315278
2018,1,8,16.10644531,-33.8760265
2018,1,9,11.1548376,-28.40752804
2018,1,10,17.30502763,1.173266808
2018,1,11,13.52722454,-41.74950465
2018,1,12,24.17889855,832.7670167
2018,1,13,29.52102468,1633.191539
2018,1,14,28.84970515,1356.313558
2018,1,15,23.2541182,1070.235808
2018,1,16,36.67896786,3376.438291
2018,1,17,40.21262913,4443.755815
2018,1,18,34.3416813,2706.034899
2018,1,19,25.87639396,930.3102419
2018,1,20,25.58442704,855.9900886
2018,1,21,33.97534263,3466.64876
2018,1,22,36.75118297,3162.181033
2018,1,23,36.87965191,3105.543729
2018,1,0,23.59895145,681.2564948
2018,1,1,16.72575521,-36.34164836
2018,1,2,11.26210198,-27.8493318
2018,1,3,13.56346679,-33.49057527
2018,1,4,16.98031588,73.01538671
2018,1,5,23.41880007,738.6707117
2018,1,6,21.36232655,966.041558
2018,1,7,19.79355993,204.3618171
2018,1,8,17.77791318,-9.174344361
2018,1,9,18.18727455,143.6357564
2018,1,10,20.12715739,123.8126811
2018,1,11,22.30572208,613.6266205
2018,1,12,24.67486769,890.9011843
2018,1,13,25.95888021,978.7071139
2018,1,14,26.30423141,1010.048887
2018,1,15,33.58728346,2474.380305
2018,1,16,31.35708355,3022.009374
2018,1,17,42.70671446,5349.644427
2018,1,18,48.217347,7795.660333
2018,1,19,47.41762049,7635.325744
2018,1,20,44.15150529,5737.026285
2018,1,21,37.01356208,3208.855393
2018,1,22,37.20334251,3474.860853
2018,1,23,35.88016687,2850.325134
2018,1,0,26.48657157,1479.655227
2018,1,1,22.29218672,917.1242942
2018,1,2,18.0639313,71.98790476
2018,1,3,20.07277698,306.7064722
2018,1,4,33.00817085,2765.930291
2018,1,5,30.43549638,2134.919311
2018,1,6,27.0053529,1320.120175
2018,1,7,21.40205272,329.6610712
2018,1,8,18.99703749,204.8329695
2018,1,9,19.31331115,184.6244199
2018,1,10,17.61233001,59.94780882
2018,1,11,15.67932677,-46.80237718
2018,1,12,17.35894175,-35.17356619
2018,1,13,13.34605618,-29.57263137
2018,1,14,13.79293335,-33.42016193
2018,1,15,15.40844507,92.83906292
2018,1,16,39.77952469,4716.298401
2018,1,17,48.18596623,7712.430954
2018,1,18,50.10652229,8623.0673
2018,1,19,41.203773,6598.970669
2018,1,20,35.32411519,2778.946841
2018,1,21,23.81997285,730.347706
2018,1,22,28.90119897,1386.812547
2018,1,23,26.2521994,1547.18136
2018,1,0,36.23497535,2969.326514
2018,1,1,32.98094893,2365.745154
2018,1,2,20.17143501,598.3935661
2018,1,3,21.57703816,532.2310348
2018,1,4,26.17462412,1959.849635
2018,1,5,23.63445711,1370.017089
2018,1,6,25.27911284,1028.365622
2018,1,7,27.72180416,1377.473863
2018,1,8,24.22865303,556.3173768
2018,1,9,21.58787455,427.947445
2018,1,10,23.75127069,684.0435646
2018,1,11,22.17964935,516.6694653
2018,1,12,24.04118716,726.4186352
2018,1,13,21.40455176,306.7854693
2018,1,14,31.53720973,2361.242727
2018,1,15,43.97074421,6091.788672
2018,1,16,44.70524501,6099.602261
2018,1,17,46.95359034,7114.810119
2018,1,18,39.48877236,4084.960198
2018,1,19,38.79174053,3733.084337
2018,1,20,27.37140529,1750.931883
2018,1,21,32.53093103,2016.890379
2018,1,22,29.14411015,1386.865609
2018,1,23,23.38617058,600.1773418
2018,1,0,24.46249236,685.5476024
2018,1,1,25.85579901,882.9318517
2018,1,2,24.17526404,484.5831842
2018,1,3,16.23227841,196.7603302
2018,1,4,25.94530062,1142.433051
2018,1,5,23.95635544,813.9408485
2018,1,6,11.35428365,261.7646316
2018,1,7,14.83708195,300.6355878
2018,1,8,18.31988024,339.5065441
2018,1,9,19.59350184,22.83000587
2018,1,10,17.21976757,22.1880314
2018,1,11,17.38605852,-38.12259237
2018,1,12,19.20041041,114.1122444
2018,1,13,17.03964648,-38.47378299
2018,1,14,15.21481071,-34.62513884
2018,1,15,20.83871108,373.1653853
2018,1,16,28.58644078,2536.811064
2018,1,17,42.78473899,5420.94319
2018,1,18,41.2534173,4749.865056
2018,1,19,41.17985088,4537.316792
2018,1,20,31.74438483,3047.652762
2018,1,21,31.16097714,2554.307099
2018,1,22,27.48178156,1168.751771
2018,1,23,29.86257521,1537.679498
2018,1,0,33.12990997,2135.002824
2018,1,1,35.6586379,2524.331011
2018,1,2,19.26830611,398.5823482
2018,1,3,19.47493668,444.9300824
2018,1,4,19.68156725,491.2778166
2018,1,5,19.88819783,537.6255507
2018,1,6,20.0948284,583.9732849
2018,1,7,20.30145897,630.321019
2018,1,8,20.50808954,676.6687532
2018,1,9,20.71472011,723.0164873
2018,1,10,20.92135068,769.3642215
2018,1,11,21.12798125,815.7119557
2018,1,12,21.33461182,862.0596898
2018,1,13,21.54124239,908.407424
2018,1,14,21.74787296,954.7551581
2018,1,15,21.95450353,1001.102892
2018,1,16,22.1611341,1047.450626
2018,1,17,22.36776468,1093.798361
2018,1,18,22.57439525,1140.146095
2018,1,19,22.78102582,1186.493829
2018,1,20,22.98765639,1232.841563
2018,1,21,23.19428696,1279.189297
2018,1,22,23.40091753,1325.537031
2018,1,23,23.6075481,1371.884766
2018,1,0,23.81417867,1418.2325
2018,1,1,24.02080924,1464.580234
2018,1,2,24.22743981,1510.927968
2018,1,3,24.43407038,1557.275702
2018,1,4,24.64070095,1603.623436
2018,1,5,24.84733153,1649.97117
2018,1,6,25.0539621,1696.318905
2018,1,7,25.26059267,1742.666639
2018,1,8,25.46722324,1789.014373
2018,1,9,25.67385381,1835.362107
2018,1,10,25.88048438,1881.709841
2018,1,11,26.08711495,1928.057575
